frame,t,phase,heavy_x,heavy_y,heavy_z,heavy_vx,heavy_vy,heavy_vz,heavy_sub,light_x,light_y,light_z,light_vx,light_vy,light_vz,light_sub,heavy_fx,heavy_fy,heavy_fz,light_fx,light_fy,light_fz,mass,mass0,mass_rel
650,10.833333,run,0.63677061,0.86189049,0.07998852,0.00235484,-0.00060789,0.00003006,0.648214,0.53762692,0.97180861,0.14071064,0.00864340,-0.00250155,0.01368363,0.209149,-0.00130133,-0.00041922,0.00677073,-0.00037482,-0.00025818,0.00071355,28869.841797,31245.734375,0.92396106
660,11.000000,run,0.63675290,0.86207503,0.07998856,-0.00071687,0.00250204,-0.00002059,0.665018,0.53732389,0.97114527,0.14176376,-0.00894279,-0.00440541,-0.00109384,0.196386,-0.00139194,-0.00056613,0.00692606,-0.00035362,-0.00028959,0.00070099,28865.066406,31245.734375,0.92380822
670,11.166667,run,0.63669592,0.86206371,0.07998887,-0.00078074,0.00024179,-0.00001044,0.666248,0.53702325,0.97131759,0.14104280,0.00056209,-0.00067455,0.00374414,0.215724,-0.00071694,-0.00029267,0.00808235,-0.00028809,-0.00028297,0.00075862,28860.968750,31245.734375,0.92367708
680,11.333333,run,0.63610524,0.86204147,0.07999720,-0.00182018,0.00525149,0.00000423,0.641681,0.53629476,0.97132641,0.14077516,-0.00487002,0.00844193,-0.01065035,0.221613,-0.00044922,0.00107181,0.00851573,-0.00026026,-0.00028711,0.00082100,28858.802734,31245.734375,0.92360776
690,11.500000,run,0.63643754,0.86296588,0.07998879,0.00004733,-0.00471507,-0.00001486,0.644433,0.53619492,0.97174537,0.14095698,0.00531073,-0.00623319,0.01146283,0.236549,-0.00138082,-0.00043711,0.00877678,-0.00016262,-0.00019338,0.00086064,28850.984375,31245.734375,0.92335754
700,11.666667,run,0.63601023,0.86254573,0.07998870,0.00171333,0.00729110,-0.00000525,0.643982,0.53695238,0.97128606,0.14293028,0.00003763,0.00586934,-0.00025409,0.179421,-0.00004417,0.00149481,0.00802907,-0.00042735,-0.00060333,0.00090181,28843.472656,31245.734375,0.92311713
710,11.833333,run,0.63608748,0.86298788,0.07998898,-0.00167875,-0.00310374,0.00003801,0.642349,0.53640461,0.97118253,0.14288493,-0.00412425,-0.00327831,-0.00365923,0.194138,-0.00125742,0.00041900,0.00919052,-0.00037968,-0.00042890,0.00089815,28838.644531,31245.734375,0.92296261
720,12.000000,run,0.63602859,0.86293918,0.07998902,0.00020084,0.00145427,0.00009520,0.658572,0.53631759,0.97123528,0.14266533,0.00086670,0.00124426,0.00164112,0.180393,-0.00160597,0.00051626,0.00928956,-0.00037715,-0.00042832,0.00091247,28833.363281,31245.734375,0.92279359
730,12.166667,run,0.63602781,0.86335051,0.07998902,-0.00004765,0.00536289,-0.00001850,0.686916,0.53604478,0.97130078,0.14282884,-0.00242461,0.00137665,0.00313950,0.205419,-0.00084769,0.00088387,0.00856000,-0.00031107,-0.00035743,0.00093498,28827.992188,31245.734375,0.92262169
740,12.333333,run,0.63597065,0.86385316,0.07999723,-0.00301515,0.00371171,0.00000503,0.692127,0.53615546,0.97139210,0.14380622,-0.00148689,0.00163932,0.00575822,0.191691,-0.00130438,0.00052777,0.00858582,-0.00032078,-0.00035148,0.00088187,28821.732422,31245.734375,0.92242135
750,12.500000,run,0.63411713,0.86482054,0.07999262,-0.01583775,0.01031263,-0.00271125,0.701088,0.53515345,0.97237188,0.14509209,-0.00874580,0.01111361,0.00732991,0.183799,-0.00083335,0.00068946,0.00897583,-0.00018610,-0.00032492,0.00068277,28813.771484,31245.734375,0.92216656
760,12.666667,run,0.63436168,0.86722267,0.07998864,0.01364560,0.01237568,0.00001132,0.661822,0.53504771,0.97416186,0.14555737,0.00595406,0.00315229,0.00348708,0.168697,-0.00044450,0.00004519,0.00730655,-0.00008830,-0.00040450,0.00036744,28804.369141,31245.734375,0.92186565
770,12.833333,run,0.63402897,0.86649489,0.07998900,-0.00996793,-0.01450069,0.00001363,0.668799,0.53479540,0.97366059,0.14530978,0.00163809,-0.00406689,0.00049074,0.181165,-0.00008933,0.00064042,0.00834815,0.00001753,-0.00031050,0.00063026,28799.853516,31245.734375,0.92172113
780,13.000000,run,0.63411164,0.86568600,0.07998896,0.00404212,0.00591038,0.00000111,0.638927,0.53604537,0.97355676,0.14590923,0.00177378,0.00107263,0.00444895,0.198911,-0.00044565,0.00097562,0.00843808,-0.00012446,-0.00032972,0.00070245,28793.273438,31245.734375,0.92151054
790,13.166667,run,0.63435876,0.86678571,0.07998883,-0.00277702,-0.00334332,-0.00001304,0.665443,0.53517121,0.97347289,0.14615713,-0.00261088,-0.00094652,-0.00350603,0.229374,-0.00024759,-0.00025414,0.00777180,0.00000367,-0.00029624,0.00059310,28787.394531,31245.734375,0.92132239
800,13.333333,run,0.63435507,0.86599892,0.07998903,-0.00229886,-0.00531861,0.00001900,0.676087,0.53557247,0.97314250,0.14602575,0.00036180,-0.00342186,0.00084442,0.211748,0.00026760,0.00109347,0.00871017,-0.00005722,-0.00015382,0.00050815,28781.341797,31245.734375,0.92112867
810,13.500000,run,0.63438892,0.86649948,0.07998938,-0.00168357,0.00341964,0.00001074,0.687843,0.53537953,0.97330654,0.14623137,-0.00271924,-0.00107722,0.00578348,0.223702,-0.00032944,0.00001097,0.00946053,-0.00015042,-0.00046259,0.00075211,28775.503906,31245.734375,0.92094183
